"","team","division","games","wins","draws","losses","elo"
"1","DAL","CEN",3,3,0,0,1595
"2","BOS","ATL",3,3,0,0,1581
"3","VGK","PAC",3,3,0,0,1560.9
"4","PIT","MET",3,2,1,0,1546.2
"5","PHI","MET",2,2,0,0,1545.4
"6","CAR","MET",2,2,0,0,1544.5
"7","DET","ATL",3,2,1,0,1544.4
"8","CGY","PAC",2,2,0,0,1542.1
"9","NYR","MET",4,3,0,1,1538.1
"10","COL","CEN",3,2,0,1,1533
"11","STL","CEN",1,1,0,0,1526.2
"12","FLA","ATL",3,2,0,1,1517.6
"13","BUF","ATL",2,1,0,1,1515.6
"14","NYI","MET",2,1,0,1,1511.3
"15","EDM","PAC",2,1,0,1,1508.1
"16","WPG","CEN",2,1,0,1,1507.5
"17","WSH","MET",4,2,0,2,1501.7
"18","SEA","PAC",3,1,1,1,1488.5
"19","CHI","CEN",3,1,0,2,1485.1
"20","TOR","ATL",4,2,0,2,1485
"21","LAK","PAC",4,1,1,2,1484.3
"22","NSH","CEN",4,2,0,2,1479.5
"23","TBL","ATL",3,1,0,2,1477.6
"24","MTL","ATL",4,1,1,2,1471.9
"25","ARI","CEN",3,1,0,2,1470.7
"26","ANA","PAC",3,0,1,2,1455.5
"27","OTT","ATL",2,0,0,2,1453.4
"28","NJD","MET",2,0,0,2,1442
"29","VAN","PAC",3,0,0,3,1439.7
"30","MIN","CEN",3,0,0,3,1426.2
"31","SJS","PAC",4,0,0,4,1411.5
"32","CBJ","MET",3,0,0,3,1410.5
